sample_id	lang	clip_image_emb_path	clip_text_emb_path	clip_caption_emb_path	bert_text_emb_path	bert_caption_emb_path	hard_label_task4	soft_label_task4	gender_annotators	ethnicities_annotators	study_levels_annotators	countries_annotators
110011	es	./data/EXIST2024/embeddings/training/clip_image/110011.npz	./data/EXIST2024/embeddings/training/clip_text/110011.npz	./data/EXIST2024/embeddings/training/clip_caption/110011.npz	./data/EXIST2024/embeddings/training/bert_text/110011.npz	./data/EXIST2024/embeddings/training/bert_caption/110011.npz	1	0.5	[0, 0, 0, 1, 1, 1]	[1, 1, 1, 5, 1, 1]	[4, 5, 5, 0, 0, 0]	[24, 39, 21, 39, 24, 24]
110012	es	./data/EXIST2024/embeddings/training/clip_image/110012.npz	./data/EXIST2024/embeddings/training/clip_text/110012.npz	./data/EXIST2024/embeddings/training/clip_caption/110012.npz	./data/EXIST2024/embeddings/training/bert_text/110012.npz	./data/EXIST2024/embeddings/training/bert_caption/110012.npz	1	1.0	[0, 0, 0, 1, 1, 1]	[1, 1, 1, 5, 1, 1]	[4, 5, 5, 0, 0, 0]	[24, 39, 21, 39, 24, 24]
110013	es	./data/EXIST2024/embeddings/training/clip_image/110013.npz	./data/EXIST2024/embeddings/training/clip_text/110013.npz	./data/EXIST2024/embeddings/training/clip_caption/110013.npz	./data/EXIST2024/embeddings/training/bert_text/110013.npz	./data/EXIST2024/embeddings/training/bert_caption/110013.npz	1	0.6666	[0, 0, 0, 1, 1, 1]	[1, 1, 1, 5, 1, 1]	[4, 5, 5, 0, 0, 0]	[24, 39, 21, 39, 24, 24]
110014	es	./data/EXIST2024/embeddings/training/clip_image/110014.npz	./data/EXIST2024/embeddings/training/clip_text/110014.npz	./data/EXIST2024/embeddings/training/clip_caption/110014.npz	./data/EXIST2024/embeddings/training/bert_text/110014.npz	./data/EXIST2024/embeddings/training/bert_caption/110014.npz	1	1.0	[0, 0, 0, 1, 1, 1]	[1, 1, 1, 5, 1, 1]	[4, 5, 5, 0, 0, 0]	[24, 39, 21, 39, 24, 24]
110015	es	./data/EXIST2024/embeddings/training/clip_image/110015.npz	./data/EXIST2024/embeddings/training/clip_text/110015.npz	./data/EXIST2024/embeddings/training/clip_caption/110015.npz	./data/EXIST2024/embeddings/training/bert_text/110015.npz	./data/EXIST2024/embeddings/training/bert_caption/110015.npz	1	0.8333	[0, 0, 0, 1, 1, 1]	[1, 1, 1, 5, 1, 1]	[4, 5, 5, 0, 0, 0]	[24, 39, 21, 39, 24, 24]
110016	es	./data/EXIST2024/embeddings/training/clip_image/110016.npz	./data/EXIST2024/embeddings/training/clip_text/110016.npz	./data/EXIST2024/embeddings/training/clip_caption/110016.npz	./data/EXIST2024/embeddings/training/bert_text/110016.npz	./data/EXIST2024/embeddings/training/bert_caption/110016.npz	1	1.0	[0, 0, 0, 1, 1, 1]	[1, 1, 1, 5, 1, 1]	[4, 5, 5, 0, 0, 0]	[24, 39, 21, 39, 24, 24]
110017	es	./data/EXIST2024/embeddings/training/clip_image/110017.npz	./data/EXIST2024/embeddings/training/clip_text/110017.npz	./data/EXIST2024/embeddings/training/clip_caption/110017.npz	./data/EXIST2024/embeddings/training/bert_text/110017.npz	./data/EXIST2024/embeddings/training/bert_caption/110017.npz	1	0.8333	[0, 0, 0, 1, 1, 1]	[1, 1, 1, 5, 1, 1]	[4, 5, 5, 0, 0, 0]	[24, 39, 21, 39, 24, 24]
110018	es	./data/EXIST2024/embeddings/training/clip_image/110018.npz	./data/EXIST2024/embeddings/training/clip_text/110018.npz	./data/EXIST2024/embeddings/training/clip_caption/110018.npz	./data/EXIST2024/embeddings/training/bert_text/110018.npz	./data/EXIST2024/embeddings/training/bert_caption/110018.npz	0	0.0	[0, 0, 0, 1, 1, 1]	[1, 1, 1, 5, 1, 1]	[4, 5, 5, 0, 0, 0]	[24, 39, 21, 39, 24, 24]
110019	es	./data/EXIST2024/embeddings/training/clip_image/110019.npz	./data/EXIST2024/embeddings/training/clip_text/110019.npz	./data/EXIST2024/embeddings/training/clip_caption/110019.npz	./data/EXIST2024/embeddings/training/bert_text/110019.npz	./data/EXIST2024/embeddings/training/bert_caption/110019.npz	1	0.8333	[0, 0, 0, 1, 1, 1]	[1, 1, 1, 5, 1, 1]	[4, 5, 5, 0, 0, 0]	[24, 39, 21, 39, 24, 24]
110020	es	./data/EXIST2024/embeddings/training/clip_image/110020.npz	./data/EXIST2024/embeddings/training/clip_text/110020.npz	./data/EXIST2024/embeddings/training/clip_caption/110020.npz	./data/EXIST2024/embeddings/training/bert_text/110020.npz	./data/EXIST2024/embeddings/training/bert_caption/110020.npz	1	0.8333	[0, 0, 0, 1, 1, 1]	[1, 1, 1, 5, 1, 1]	[4, 5, 5, 0, 0, 0]	[24, 39, 21, 39, 24, 24]
110021	es	./data/EXIST2024/embeddings/training/clip_image/110021.npz	./data/EXIST2024/embeddings/training/clip_text/110021.npz	./data/EXIST2024/embeddings/training/clip_caption/110021.npz	./data/EXIST2024/embeddings/training/bert_text/110021.npz	./data/EXIST2024/embeddings/training/bert_caption/110021.npz	1	0.6666	[0, 0, 0, 1, 1, 1]	[1, 1, 1, 5, 1, 1]	[4, 5, 5, 0, 0, 0]	[24, 39, 21, 39, 24, 24]
110022	es	./data/EXIST2024/embeddings/training/clip_image/110022.npz	./data/EXIST2024/embeddings/training/clip_text/110022.npz	./data/EXIST2024/embeddings/training/clip_caption/110022.npz	./data/EXIST2024/embeddings/training/bert_text/110022.npz	./data/EXIST2024/embeddings/training/bert_caption/110022.npz	1	0.6666	[0, 0, 0, 1, 1, 1]	[1, 1, 1, 5, 1, 1]	[4, 5, 5, 0, 0, 0]	[24, 39, 21, 39, 24, 24]
110023	es	./data/EXIST2024/embeddings/training/clip_image/110023.npz	./data/EXIST2024/embeddings/training/clip_text/110023.npz	./data/EXIST2024/embeddings/training/clip_caption/110023.npz	./data/EXIST2024/embeddings/training/bert_text/110023.npz	./data/EXIST2024/embeddings/training/bert_caption/110023.npz	1	1.0	[0, 0, 0, 1, 1, 1]	[1, 1, 1, 5, 1, 1]	[4, 5, 5, 0, 0, 0]	[24, 39, 21, 39, 24, 24]
110024	es	./data/EXIST2024/embeddings/training/clip_image/110024.npz	./data/EXIST2024/embeddings/training/clip_text/110024.npz	./data/EXIST2024/embeddings/training/clip_caption/110024.npz	./data/EXIST2024/embeddings/training/bert_text/110024.npz	./data/EXIST2024/embeddings/training/bert_caption/110024.npz	1	0.5	[0, 0, 0, 1, 1, 1]	[1, 1, 1, 5, 1, 1]	[4, 5, 5, 0, 0, 0]	[24, 39, 21, 39, 24, 24]
110025	es	./data/EXIST2024/embeddings/training/clip_image/110025.npz	./data/EXIST2024/embeddings/training/clip_text/110025.npz	./data/EXIST2024/embeddings/training/clip_caption/110025.npz	./data/EXIST2024/embeddings/training/bert_text/110025.npz	./data/EXIST2024/embeddings/training/bert_caption/110025.npz	1	0.8333	[0, 0, 0, 1, 1, 1]	[1, 1, 1, 5, 1, 1]	[4, 5, 5, 0, 0, 0]	[24, 39, 21, 39, 24, 24]
110026	es	./data/EXIST2024/embeddings/training/clip_image/110026.npz	./data/EXIST2024/embeddings/training/clip_text/110026.npz	./data/EXIST2024/embeddings/training/clip_caption/110026.npz	./data/EXIST2024/embeddings/training/bert_text/110026.npz	./data/EXIST2024/embeddings/training/bert_caption/110026.npz	0	0.0	[0, 0, 0, 1, 1, 1]	[1, 1, 1, 5, 1, 1]	[4, 5, 5, 0, 0, 0]	[24, 39, 21, 39, 24, 24]
110027	es	./data/EXIST2024/embeddings/training/clip_image/110027.npz	./data/EXIST2024/embeddings/training/clip_text/110027.npz	./data/EXIST2024/embeddings/training/clip_caption/110027.npz	./data/EXIST2024/embeddings/training/bert_text/110027.npz	./data/EXIST2024/embeddings/training/bert_caption/110027.npz	0	0.0	[0, 0, 0, 1, 1, 1]	[1, 1, 1, 5, 1, 1]	[4, 5, 5, 0, 0, 0]	[24, 39, 21, 39, 24, 24]
110028	es	./data/EXIST2024/embeddings/training/clip_image/110028.npz	./data/EXIST2024/embeddings/training/clip_text/110028.npz	./data/EXIST2024/embeddings/training/clip_caption/110028.npz	./data/EXIST2024/embeddings/training/bert_text/110028.npz	./data/EXIST2024/embeddings/training/bert_caption/110028.npz	0	0.1666	[0, 0, 0, 1, 1, 1]	[1, 1, 1, 5, 4, 1]	[4, 0, 0, 0, 4, 0]	[24, 24, 39, 27, 16, 24]
110029	es	./data/EXIST2024/embeddings/training/clip_image/110029.npz	./data/EXIST2024/embeddings/training/clip_text/110029.npz	./data/EXIST2024/embeddings/training/clip_caption/110029.npz	./data/EXIST2024/embeddings/training/bert_text/110029.npz	./data/EXIST2024/embeddings/training/bert_caption/110029.npz	0	0.3333	[0, 0, 0, 1, 1, 1]	[1, 1, 1, 5, 4, 1]	[4, 0, 0, 0, 4, 0]	[24, 24, 39, 27, 16, 24]
110030	es	./data/EXIST2024/embeddings/training/clip_image/110030.npz	./data/EXIST2024/embeddings/training/clip_text/110030.npz	./data/EXIST2024/embeddings/training/clip_caption/110030.npz	./data/EXIST2024/embeddings/training/bert_text/110030.npz	./data/EXIST2024/embeddings/training/bert_caption/110030.npz	1	0.5	[0, 0, 0, 1, 1, 1]	[1, 1, 1, 5, 4, 1]	[4, 0, 0, 0, 4, 0]	[24, 24, 39, 27, 16, 24]
110031	es	./data/EXIST2024/embeddings/training/clip_image/110031.npz	./data/EXIST2024/embeddings/training/clip_text/110031.npz	./data/EXIST2024/embeddings/training/clip_caption/110031.npz	./data/EXIST2024/embeddings/training/bert_text/110031.npz	./data/EXIST2024/embeddings/training/bert_caption/110031.npz	0	0.1666	[0, 0, 0, 1, 1, 1]	[1, 1, 1, 5, 4, 1]	[4, 0, 0, 0, 4, 0]	[24, 24, 39, 27, 16, 24]
110032	es	./data/EXIST2024/embeddings/training/clip_image/110032.npz	./data/EXIST2024/embeddings/training/clip_text/110032.npz	./data/EXIST2024/embeddings/training/clip_caption/110032.npz	./data/EXIST2024/embeddings/training/bert_text/110032.npz	./data/EXIST2024/embeddings/training/bert_caption/110032.npz	1	0.6666	[0, 0, 0, 1, 1, 1]	[1, 1, 1, 5, 4, 1]	[4, 0, 0, 0, 4, 0]	[24, 24, 39, 27, 16, 24]
110033	es	./data/EXIST2024/embeddings/training/clip_image/110033.npz	./data/EXIST2024/embeddings/training/clip_text/110033.npz	./data/EXIST2024/embeddings/training/clip_caption/110033.npz	./data/EXIST2024/embeddings/training/bert_text/110033.npz	./data/EXIST2024/embeddings/training/bert_caption/110033.npz	1	0.6666	[0, 0, 0, 1, 1, 1]	[1, 1, 1, 5, 4, 1]	[4, 0, 0, 0, 4, 0]	[24, 24, 39, 27, 16, 24]
110034	es	./data/EXIST2024/embeddings/training/clip_image/110034.npz	./data/EXIST2024/embeddings/training/clip_text/110034.npz	./data/EXIST2024/embeddings/training/clip_caption/110034.npz	./data/EXIST2024/embeddings/training/bert_text/110034.npz	./data/EXIST2024/embeddings/training/bert_caption/110034.npz	1	0.8333	[0, 0, 0, 1, 1, 1]	[1, 1, 1, 5, 4, 1]	[4, 0, 0, 0, 4, 0]	[24, 24, 39, 27, 16, 24]
110035	es	./data/EXIST2024/embeddings/training/clip_image/110035.npz	./data/EXIST2024/embeddings/training/clip_text/110035.npz	./data/EXIST2024/embeddings/training/clip_caption/110035.npz	./data/EXIST2024/embeddings/training/bert_text/110035.npz	./data/EXIST2024/embeddings/training/bert_caption/110035.npz	1	1.0	[0, 0, 0, 1, 1, 1]	[1, 1, 1, 5, 4, 1]	[4, 0, 0, 0, 4, 0]	[24, 24, 39, 27, 16, 24]
110036	es	./data/EXIST2024/embeddings/training/clip_image/110036.npz	./data/EXIST2024/embeddings/training/clip_text/110036.npz	./data/EXIST2024/embeddings/training/clip_caption/110036.npz	./data/EXIST2024/embeddings/training/bert_text/110036.npz	./data/EXIST2024/embeddings/training/bert_caption/110036.npz	1	1.0	[0, 0, 0, 1, 1, 1]	[1, 1, 1, 5, 4, 1]	[4, 0, 0, 0, 4, 0]	[24, 24, 39, 27, 16, 24]
110037	es	./data/EXIST2024/embeddings/training/clip_image/110037.npz	./data/EXIST2024/embeddings/training/clip_text/110037.npz	./data/EXIST2024/embeddings/training/clip_caption/110037.npz	./data/EXIST2024/embeddings/training/bert_text/110037.npz	./data/EXIST2024/embeddings/training/bert_caption/110037.npz	1	1.0	[0, 0, 0, 1, 1, 1]	[1, 1, 1, 5, 4, 1]	[4, 0, 0, 0, 4, 0]	[24, 24, 39, 27, 16, 24]
110038	es	./data/EXIST2024/embeddings/training/clip_image/110038.npz	./data/EXIST2024/embeddings/training/clip_text/110038.npz	./data/EXIST2024/embeddings/training/clip_caption/110038.npz	./data/EXIST2024/embeddings/training/bert_text/110038.npz	./data/EXIST2024/embeddings/training/bert_caption/110038.npz	1	0.5	[0, 0, 0, 1, 1, 1]	[1, 1, 1, 5, 4, 1]	[4, 0, 0, 0, 4, 0]	[24, 24, 39, 27, 16, 24]
110039	es	./data/EXIST2024/embeddings/training/clip_image/110039.npz	./data/EXIST2024/embeddings/training/clip_text/110039.npz	./data/EXIST2024/embeddings/training/clip_caption/110039.npz	./data/EXIST2024/embeddings/training/bert_text/110039.npz	./data/EXIST2024/embeddings/training/bert_caption/110039.npz	1	0.6666	[0, 0, 0, 1, 1, 1]	[1, 1, 1, 5, 4, 1]	[4, 0, 0, 0, 4, 0]	[24, 24, 39, 27, 16, 24]
110040	es	./data/EXIST2024/embeddings/training/clip_image/110040.npz	./data/EXIST2024/embeddings/training/clip_text/110040.npz	./data/EXIST2024/embeddings/training/clip_caption/110040.npz	./data/EXIST2024/embeddings/training/bert_text/110040.npz	./data/EXIST2024/embeddings/training/bert_caption/110040.npz	1	0.5	[0, 0, 0, 1, 1, 1]	[1, 1, 1, 5, 4, 1]	[4, 0, 0, 0, 4, 0]	[24, 24, 39, 27, 16, 24]
110041	es	./data/EXIST2024/embeddings/training/clip_image/110041.npz	./data/EXIST2024/embeddings/training/clip_text/110041.npz	./data/EXIST2024/embeddings/training/clip_caption/110041.npz	./data/EXIST2024/embeddings/training/bert_text/110041.npz	./data/EXIST2024/embeddings/training/bert_caption/110041.npz	1	0.8333	[0, 0, 0, 1, 1, 1]	[1, 1, 1, 5, 4, 1]	[4, 0, 0, 0, 4, 0]	[24, 24, 39, 27, 16, 24]
110042	es	./data/EXIST2024/embeddings/training/clip_image/110042.npz	./data/EXIST2024/embeddings/training/clip_text/110042.npz	./data/EXIST2024/embeddings/training/clip_caption/110042.npz	./data/EXIST2024/embeddings/training/bert_text/110042.npz	./data/EXIST2024/embeddings/training/bert_caption/110042.npz	1	1.0	[0, 0, 0, 1, 1, 1]	[1, 1, 1, 5, 4, 1]	[4, 0, 0, 0, 4, 0]	[24, 24, 39, 27, 16, 24]
110043	es	./data/EXIST2024/embeddings/training/clip_image/110043.npz	./data/EXIST2024/embeddings/training/clip_text/110043.npz	./data/EXIST2024/embeddings/training/clip_caption/110043.npz	./data/EXIST2024/embeddings/training/bert_text/110043.npz	./data/EXIST2024/embeddings/training/bert_caption/110043.npz	1	1.0	[0, 0, 0, 1, 1, 1]	[1, 1, 1, 5, 4, 1]	[4, 0, 0, 0, 4, 0]	[24, 24, 39, 27, 16, 24]
110044	es	./data/EXIST2024/embeddings/training/clip_image/110044.npz	./data/EXIST2024/embeddings/training/clip_text/110044.npz	./data/EXIST2024/embeddings/training/clip_caption/110044.npz	./data/EXIST2024/embeddings/training/bert_text/110044.npz	./data/EXIST2024/embeddings/training/bert_caption/110044.npz	1	0.8333	[0, 0, 0, 1, 1, 1]	[1, 1, 1, 5, 4, 1]	[4, 0, 0, 0, 4, 0]	[24, 24, 39, 27, 16, 24]
110045	es	./data/EXIST2024/embeddings/training/clip_image/110045.npz	./data/EXIST2024/embeddings/training/clip_text/110045.npz	./data/EXIST2024/embeddings/training/clip_caption/110045.npz	./data/EXIST2024/embeddings/training/bert_text/110045.npz	./data/EXIST2024/embeddings/training/bert_caption/110045.npz	1	0.5	[0, 0, 0, 1, 1, 1]	[1, 1, 1, 5, 4, 1]	[4, 0, 0, 0, 4, 0]	[24, 24, 39, 27, 16, 24]
110046	es	./data/EXIST2024/embeddings/training/clip_image/110046.npz	./data/EXIST2024/embeddings/training/clip_text/110046.npz	./data/EXIST2024/embeddings/training/clip_caption/110046.npz	./data/EXIST2024/embeddings/training/bert_text/110046.npz	./data/EXIST2024/embeddings/training/bert_caption/110046.npz	0	0.0	[0, 0, 0, 1, 1, 1]	[1, 1, 1, 5, 4, 1]	[4, 0, 0, 0, 4, 0]	[24, 24, 39, 27, 16, 24]
110047	es	./data/EXIST2024/embeddings/training/clip_image/110047.npz	./data/EXIST2024/embeddings/training/clip_text/110047.npz	./data/EXIST2024/embeddings/training/clip_caption/110047.npz	./data/EXIST2024/embeddings/training/bert_text/110047.npz	./data/EXIST2024/embeddings/training/bert_caption/110047.npz	1	1.0	[0, 0, 0, 1, 1, 1]	[1, 1, 1, 5, 4, 1]	[4, 0, 0, 0, 4, 0]	[24, 24, 39, 27, 16, 24]
110048	es	./data/EXIST2024/embeddings/training/clip_image/110048.npz	./data/EXIST2024/embeddings/training/clip_text/110048.npz	./data/EXIST2024/embeddings/training/clip_caption/110048.npz	./data/EXIST2024/embeddings/training/bert_text/110048.npz	./data/EXIST2024/embeddings/training/bert_caption/110048.npz	1	0.8333	[0, 0, 0, 1, 1, 1]	[1, 1, 1, 5, 4, 1]	[4, 0, 0, 0, 4, 0]	[24, 24, 39, 27, 16, 24]
110049	es	./data/EXIST2024/embeddings/training/clip_image/110049.npz	./data/EXIST2024/embeddings/training/clip_text/110049.npz	./data/EXIST2024/embeddings/training/clip_caption/110049.npz	./data/EXIST2024/embeddings/training/bert_text/110049.npz	./data/EXIST2024/embeddings/training/bert_caption/110049.npz	1	0.6666	[0, 0, 0, 1, 1, 1]	[1, 1, 1, 5, 4, 1]	[4, 0, 0, 0, 4, 0]	[24, 24, 39, 27, 16, 24]
110050	es	./data/EXIST2024/embeddings/training/clip_image/110050.npz	./data/EXIST2024/embeddings/training/clip_text/110050.npz	./data/EXIST2024/embeddings/training/clip_caption/110050.npz	./data/EXIST2024/embeddings/training/bert_text/110050.npz	./data/EXIST2024/embeddings/training/bert_caption/110050.npz	0	0.1666	[0, 0, 0, 1, 1, 1]	[1, 1, 1, 5, 4, 1]	[4, 0, 0, 0, 4, 0]	[24, 24, 39, 27, 16, 24]
110051	es	./data/EXIST2024/embeddings/training/clip_image/110051.npz	./data/EXIST2024/embeddings/training/clip_text/110051.npz	./data/EXIST2024/embeddings/training/clip_caption/110051.npz	./data/EXIST2024/embeddings/training/bert_text/110051.npz	./data/EXIST2024/embeddings/training/bert_caption/110051.npz	1	0.8333	[0, 0, 0, 1, 1, 1]	[1, 1, 1, 5, 4, 1]	[4, 0, 0, 0, 4, 0]	[24, 24, 39, 27, 16, 24]
110052	es	./data/EXIST2024/embeddings/training/clip_image/110052.npz	./data/EXIST2024/embeddings/training/clip_text/110052.npz	./data/EXIST2024/embeddings/training/clip_caption/110052.npz	./data/EXIST2024/embeddings/training/bert_text/110052.npz	./data/EXIST2024/embeddings/training/bert_caption/110052.npz	1	0.8333	[0, 0, 0, 1, 1, 1]	[1, 1, 1, 5, 4, 1]	[4, 0, 0, 0, 4, 0]	[24, 24, 39, 27, 16, 24]
110053	es	./data/EXIST2024/embeddings/training/clip_image/110053.npz	./data/EXIST2024/embeddings/training/clip_text/110053.npz	./data/EXIST2024/embeddings/training/clip_caption/110053.npz	./data/EXIST2024/embeddings/training/bert_text/110053.npz	./data/EXIST2024/embeddings/training/bert_caption/110053.npz	1	0.8333	[0, 0, 0, 1, 1, 1]	[1, 1, 1, 5, 4, 1]	[4, 0, 0, 0, 4, 0]	[24, 24, 39, 27, 16, 24]
110054	es	./data/EXIST2024/embeddings/training/clip_image/110054.npz	./data/EXIST2024/embeddings/training/clip_text/110054.npz	./data/EXIST2024/embeddings/training/clip_caption/110054.npz	./data/EXIST2024/embeddings/training/bert_text/110054.npz	./data/EXIST2024/embeddings/training/bert_caption/110054.npz	1	0.5	[0, 0, 0, 1, 1, 1]	[1, 1, 1, 5, 4, 1]	[4, 0, 0, 0, 4, 0]	[24, 24, 39, 27, 16, 24]
110055	es	./data/EXIST2024/embeddings/training/clip_image/110055.npz	./data/EXIST2024/embeddings/training/clip_text/110055.npz	./data/EXIST2024/embeddings/training/clip_caption/110055.npz	./data/EXIST2024/embeddings/training/bert_text/110055.npz	./data/EXIST2024/embeddings/training/bert_caption/110055.npz	1	0.8333	[0, 0, 0, 1, 1, 1]	[1, 1, 5, 1, 5, 1]	[4, 0, 4, 0, 0, 0]	[24, 24, 39, 18, 16, 24]
110056	es	./data/EXIST2024/embeddings/training/clip_image/110056.npz	./data/EXIST2024/embeddings/training/clip_text/110056.npz	./data/EXIST2024/embeddings/training/clip_caption/110056.npz	./data/EXIST2024/embeddings/training/bert_text/110056.npz	./data/EXIST2024/embeddings/training/bert_caption/110056.npz	0	0.0	[0, 0, 0, 1, 1, 1]	[1, 1, 5, 1, 5, 1]	[4, 0, 4, 0, 0, 0]	[24, 24, 39, 18, 16, 24]
110057	es	./data/EXIST2024/embeddings/training/clip_image/110057.npz	./data/EXIST2024/embeddings/training/clip_text/110057.npz	./data/EXIST2024/embeddings/training/clip_caption/110057.npz	./data/EXIST2024/embeddings/training/bert_text/110057.npz	./data/EXIST2024/embeddings/training/bert_caption/110057.npz	0	0.3333	[0, 0, 0, 1, 1, 1]	[1, 1, 5, 1, 5, 1]	[4, 0, 4, 0, 0, 0]	[24, 24, 39, 18, 16, 24]
110058	es	./data/EXIST2024/embeddings/training/clip_image/110058.npz	./data/EXIST2024/embeddings/training/clip_text/110058.npz	./data/EXIST2024/embeddings/training/clip_caption/110058.npz	./data/EXIST2024/embeddings/training/bert_text/110058.npz	./data/EXIST2024/embeddings/training/bert_caption/110058.npz	1	0.8333	[0, 0, 0, 1, 1, 1]	[1, 1, 5, 1, 5, 1]	[4, 0, 4, 0, 0, 0]	[24, 24, 39, 18, 16, 24]
110059	es	./data/EXIST2024/embeddings/training/clip_image/110059.npz	./data/EXIST2024/embeddings/training/clip_text/110059.npz	./data/EXIST2024/embeddings/training/clip_caption/110059.npz	./data/EXIST2024/embeddings/training/bert_text/110059.npz	./data/EXIST2024/embeddings/training/bert_caption/110059.npz	1	1.0	[0, 0, 0, 1, 1, 1]	[1, 1, 5, 1, 5, 1]	[4, 0, 4, 0, 0, 0]	[24, 24, 39, 18, 16, 24]
110060	es	./data/EXIST2024/embeddings/training/clip_image/110060.npz	./data/EXIST2024/embeddings/training/clip_text/110060.npz	./data/EXIST2024/embeddings/training/clip_caption/110060.npz	./data/EXIST2024/embeddings/training/bert_text/110060.npz	./data/EXIST2024/embeddings/training/bert_caption/110060.npz	1	0.8333	[0, 0, 0, 1, 1, 1]	[1, 1, 5, 1, 5, 1]	[4, 0, 4, 0, 0, 0]	[24, 24, 39, 18, 16, 24]
